,num__Floor,num__Unit_Area_sq_m,num__Number_of_Rooms,num__Parking_Spots,num__Storage_Unit,cat__Foundation_and_Structure_Reinforced_Concrete,cat__Foundation_and_Structure_Steel_Frame,cat__Floor_Ceiling_Clay_Block_Joist,cat__Floor_Ceiling_Styrofoam_Block,cat__Wall_Materials_Brick,cat__Wall_Materials_Lightweight_Cement_Block,cat__Facade_Type_South_East_West_Cement_Board,cat__Facade_Type_South_East_West_Composite_Panel,cat__Facade_Type_South_East_West_Travertine_and_Brick,cat__Courtyard_and_Parking_Facade_Type_Brick,cat__Courtyard_and_Parking_Facade_Type_Exposed_Concrete,cat__Courtyard_and_Parking_Facade_Type_Travertine_Stone,cat__Courtyard_Stone_Material_Basalt,cat__Courtyard_Stone_Material_Paving_Stones,cat__Courtyard_Stone_Material_Travertine,cat__Rooftop_Insulation_Type_Asphalt_and_Mosaic,cat__Rooftop_Insulation_Type_Isogam,cat__Rooftop_Insulation_Type_Polyurethane_Foam,cat__Window_Type_and_Color_Aluminum_Frame,cat__Window_Type_and_Color_Standard_UPVC,cat__Window_Type_and_Color_UPVC_White_Double_Glazed_Argon_Gas,cat__Stair_Landing_Lobby_Floor_Type_Ceramic,cat__Stair_Landing_Lobby_Floor_Type_Granite,cat__Stair_Landing_Lobby_Floor_Type_Stone,cat__Parking_Area_Finish_Concrete,cat__Parking_Area_Finish_Epoxy_Flooring,cat__Parking_Area_Finish_Stone_Floor_and_Walls,cat__Stairwell_Wall_Finish_Paint,cat__Stairwell_Wall_Finish_Stone_to_Ceiling,cat__Stairwell_Wall_Finish_Textured_Plaster,cat__Lobby_Entrance_Finish_Marble,cat__Lobby_Entrance_Finish_Travertine_and_Antique_Stone,cat__Lobby_Entrance_Finish_Wood_Paneling,cat__Elevator_Gearless_Motor,cat__Elevator_Italian_Motor_Steel_MDF_Cabin,cat__Elevator_Standard_Model,cat__Railing_and_Entrance_Gate_Type_Aluminum_Gate,cat__Railing_and_Entrance_Gate_Type_Stainless_Steel,cat__Railing_and_Entrance_Gate_Type_Wrought_Iron_and_Steel_Railing,cat__Interior_Floor_Design_Laminate_Flooring,cat__Interior_Floor_Design_Porcelain_80x80,cat__Interior_Floor_Design_Seamless_60x60_Ceramic,cat__Wall_and_Ceiling_Paint_Type_Acrylic_Paint,cat__Wall_and_Ceiling_Paint_Type_Oil_Based_Paint,cat__Wall_and_Ceiling_Paint_Type_Washable_Plastic_Paint,cat__Kitchen_Cabinets_High_Gloss,cat__Kitchen_Cabinets_MDF,cat__Kitchen_Cabinets_Wood_Veneer,cat__Doors_and_Frames_HDF_with_French_Frame,cat__Doors_and_Frames_MDF_with_PVC_Coating,cat__Doors_and_Frames_Solid_Wood,cat__Closet_Body_and_Doors_MDF_Closet,cat__Closet_Body_and_Doors_Plasterwork_with_Hinged_Door,cat__Closet_Body_and_Doors_Plasterwork_with_Sliding_Door,cat__Hardware_Fittings_Doors_Closets_Chinese,cat__Hardware_Fittings_Doors_Closets_European_Brand,cat__Hardware_Fittings_Doors_Closets_Grade_A_Iranian,cat__Heating_System_Central_Chiller,cat__Heating_System_Package_and_Radiator,cat__Heating_System_Underfloor_Heating,cat__Cooling_System_Central_Chiller,cat__Cooling_System_Cooler_Ducting,cat__Cooling_System_Split_AC_Unit,cat__Electrical_Wiring_Amin_Cable,cat__Electrical_Wiring_Kerman_Cable,cat__Electrical_Wiring_Standard_Copper_Wire,cat__Switches_and_Sockets_Asia,cat__Switches_and_Sockets_Deland,cat__Switches_and_Sockets_Mehsan,cat__Gas_Piping_Material_Isfahan_Standard,cat__Gas_Piping_Material_Mannisman_Seamless,cat__Hot_and_Cold_Water_System_Copper_Pipe,cat__Hot_and_Cold_Water_System_PEX_Piping,cat__Hot_and_Cold_Water_System_Standard_White_Pipe,cat__Sewage_System_Cast_Iron,cat__Sewage_System_High_Pressure_PVC,cat__Sewage_System_Standard_PVC,cat__Ventilation_Pipes_Galvanized_Steel,cat__Ventilation_Pipes_PVC,cat__Ventilation_Pipes_Polica_Pipe,cat__Bathroom_Tile_and_Ceramic_Type_High_Quality_Iranian_Tile,cat__Bathroom_Tile_and_Ceramic_Type_Spanish_Tile,cat__Bathroom_Tile_and_Ceramic_Type_Standard_Iranian_Tile,cat__Faucets_and_Shower_Heads_Economy_Brand,cat__Faucets_and_Shower_Heads_Premium_Brand,cat__Faucets_and_Shower_Heads_Standard_Lever_Faucet,cat__Toilets_and_Sinks_Golsar,cat__Toilets_and_Sinks_Morvarid,cat__Toilets_and_Sinks_Pars_Seram,cat__Sink_and_Stove_Type_Akhavan,cat__Sink_and_Stove_Type_Alborz,cat__Sink_and_Stove_Type_Can,cat__Waterproofing_Type_Bathrooms_Kitchen_Cementitious_Waterproofing,cat__Waterproofing_Type_Bathrooms_Kitchen_Double_Layer_Asphalt,cat__Waterproofing_Type_Bathrooms_Kitchen_Liquid_Membrane,cat__Patio_Wall_Material_Brick,cat__Patio_Wall_Material_Ceramic,cat__Patio_Wall_Material_Paint,cat__Radiator_and_Towel_Warmer_Aluminum,cat__Radiator_and_Towel_Warmer_Decorative,cat__Radiator_and_Towel_Warmer_Standard_Steel,cat__Lighting_Halogen,cat__Lighting_LED_Strip,cat__Lighting_Smart_Lighting,cat__Landscaping_Garden_Creation,cat__Landscaping_Minimal_Landscaping,cat__Landscaping_Rooftop_Garden,cat__Storage_Area_Finish_Ceramic_Floor_and_White_Cement_Walls,cat__Storage_Area_Finish_Concrete_Floor,cat__Storage_Area_Finish_Painted_Walls,cat__Entrance_and_Parking_Gate_Opener_Manual,cat__Entrance_and_Parking_Gate_Opener_Remote_Controlled,cat__Entrance_and_Parking_Gate_Opener_Standard_Compliant,cat__Video_Intercom_Type_Black_and_White_Intercom,cat__Video_Intercom_Type_Color_Video_Intercom,cat__Video_Intercom_Type_Smart_Intercom_with_App,cat__Stairwell_Elevator_Doors_Fire_Rated_Door,cat__Stairwell_Elevator_Doors_Steel_Door,cat__Stairwell_Elevator_Doors_Tempered_Glass,cat__Parking_Restroom_Basic_Facility,cat__Parking_Restroom_No_Restroom,cat__Parking_Restroom_Tile_and_Ceramic
8588,0.015297555812577369,1.0398597581151796,0.10694455964834793,-1.564288538728638,0.674199862463242,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3178,1.4166003783387462,-1.4653986036222681,0.10694455964834793,0.01606694744274235,0.674199862463242,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5200,0.015297555812577369,-0.20290620085694008,-1.3285528852959192,0.01606694744274235,0.674199862463242,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8889,1.4166003783387462,1.5527472967385942,0.10694455964834793,-1.564288538728638,-1.4832396974191326,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5789,0.7159489670756617,-1.5640308225883093,0.10694455964834793,0.01606694744274235,0.674199862463242,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1266,0.015297555812577369,0.6453308822510146,1.542442004592615,0.01606694744274235,0.674199862463242,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
570,-0.685353855450507,1.0201333143219715,-1.3285528852959192,0.01606694744274235,-1.4832396974191326,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2530,-0.685353855450507,1.5132944091521776,-1.3285528852959192,-1.564288538728638,0.674199862463242,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1326,0.015297555812577369,0.9215010953559302,0.10694455964834793,0.01606694744274235,0.674199862463242,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8568,0.015297555812577369,-1.3273134970698104,-1.3285528852959192,-1.564288538728638,0.674199862463242,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
